"alert__week","alert__year","alert__count","confidence__cat"
35,2022,1898,"n"
35,2022,48,"h"
34,2022,46,"h"
34,2022,1353,"n"
34,2022,175,"l"
30,2022,5,"h"
30,2022,55,"l"
30,2022,411,"n"
29,2022,280,"l"
29,2022,1976,"n"
29,2022,101,"h"
28,2022,40,"h"
28,2022,206,"l"
28,2022,1813,"n"
27,2022,47,"h"
27,2022,149,"l"
27,2022,1411,"n"
26,2022,290,"l"
26,2022,1558,"n"
26,2022,69,"h"
25,2022,294,"l"
25,2022,1618,"n"
25,2022,35,"h"
24,2022,1647,"n"
24,2022,161,"l"
24,2022,45,"h"
23,2022,47,"h"
23,2022,1795,"n"
23,2022,214,"l"
22,2022,41,"h"
22,2022,227,"l"
22,2022,1489,"n"
21,2022,1524,"n"
21,2022,9,"h"
21,2022,137,"l"
20,2022,200,"l"
20,2022,27,"h"
20,2022,1906,"n"
19,2022,2240,"n"
19,2022,59,"h"
19,2022,196,"l"
18,2022,82,"l"
18,2022,6,"h"
18,2022,1617,"n"
17,2022,40,"l"
17,2022,1103,"n"
17,2022,6,"h"
16,2022,117,"l"
16,2022,27,"h"
16,2022,1943,"n"
15,2022,1162,"n"
15,2022,52,"l"
15,2022,6,"h"
14,2022,1814,"n"
14,2022,154,"l"
14,2022,28,"h"
13,2022,15,"h"
13,2022,1549,"n"
13,2022,106,"l"
12,2022,50,"l"
12,2022,1452,"n"
12,2022,8,"h"
11,2022,1391,"n"
11,2022,47,"l"
11,2022,7,"h"
10,2022,20,"h"
10,2022,51,"l"
10,2022,1692,"n"
9,2022,23,"l"
9,2022,1107,"n"
9,2022,2,"h"
8,2022,8,"h"
8,2022,1410,"n"
8,2022,46,"l"
7,2022,1140,"n"
7,2022,12,"h"
7,2022,8,"l"
6,2022,19,"h"
6,2022,1403,"n"
6,2022,6,"l"
5,2022,13,"h"
5,2022,1404,"n"
5,2022,16,"l"
4,2022,6,"l"
4,2022,1311,"n"
4,2022,13,"h"
3,2022,1598,"n"
3,2022,12,"l"
3,2022,28,"h"
2,2022,16,"h"
2,2022,1315,"n"
2,2022,4,"l"
1,2022,7,"h"
1,2022,2,"l"
1,2022,1346,"n"
53,2021,3,"h"
53,2021,428,"n"
52,2021,2,"l"
52,2021,10,"h"
52,2021,1198,"n"
51,2021,1131,"n"
51,2021,11,"h"
51,2021,6,"l"
50,2021,13,"h"
50,2021,1315,"n"
50,2021,6,"l"
49,2021,18,"h"
49,2021,1423,"n"
49,2021,8,"l"
48,2021,8,"l"
48,2021,1229,"n"
48,2021,27,"h"
47,2021,6,"h"
47,2021,1052,"n"
47,2021,4,"l"
46,2021,12,"h"
46,2021,1315,"n"
46,2021,8,"l"
45,2021,7,"l"
45,2021,16,"h"
45,2021,1389,"n"
44,2021,1401,"n"
44,2021,51,"l"
44,2021,10,"h"
43,2021,34,"h"
43,2021,1747,"n"
43,2021,26,"l"
42,2021,36,"l"
42,2021,18,"h"
42,2021,1622,"n"
41,2021,1595,"n"
41,2021,21,"h"
41,2021,105,"l"
40,2021,138,"l"
40,2021,32,"h"
40,2021,1956,"n"
39,2021,40,"h"
39,2021,210,"l"
39,2021,1839,"n"
38,2021,1546,"n"
38,2021,192,"l"
38,2021,25,"h"
37,2021,1556,"n"
37,2021,34,"h"
37,2021,233,"l"
36,2021,1868,"n"
36,2021,55,"h"
36,2021,206,"l"
35,2021,20,"h"
35,2021,1027,"n"
35,2021,207,"l"
34,2021,42,"h"
34,2021,238,"l"
34,2021,1524,"n"
33,2021,1657,"n"
33,2021,95,"h"
33,2021,228,"l"
32,2021,880,"l"
32,2021,1476,"h"
32,2021,6013,"n"
31,2021,243,"l"
31,2021,56,"h"
31,2021,1143,"n"
30,2021,1535,"n"
30,2021,232,"l"
30,2021,55,"h"
29,2021,47,"h"
29,2021,1663,"n"
29,2021,235,"l"
28,2021,161,"l"
28,2021,25,"h"
28,2021,1315,"n"
27,2021,1814,"n"
27,2021,171,"h"
27,2021,415,"l"
26,2021,1626,"n"
26,2021,249,"l"
26,2021,92,"h"
25,2021,174,"l"
25,2021,1333,"n"
25,2021,37,"h"
24,2021,22,"h"
24,2021,127,"l"
24,2021,1179,"n"
23,2021,1510,"n"
23,2021,42,"h"
23,2021,147,"l"
22,2021,728,"n"
22,2021,6,"h"
22,2021,43,"l"
21,2021,996,"n"
21,2021,145,"l"
21,2021,7,"h"
20,2021,1623,"n"
20,2021,64,"h"
20,2021,166,"l"
19,2021,152,"l"
19,2021,1556,"n"
19,2021,40,"h"
18,2021,1246,"n"
18,2021,81,"l"
18,2021,22,"h"
17,2021,84,"l"
17,2021,16,"h"
17,2021,1096,"n"
16,2021,99,"l"
16,2021,1567,"n"
16,2021,28,"h"
15,2021,1308,"n"
15,2021,17,"h"
15,2021,60,"l"
14,2021,101,"l"
14,2021,1598,"n"
14,2021,38,"h"
13,2021,88,"l"
13,2021,1277,"n"
13,2021,13,"h"
12,2021,34,"h"
12,2021,85,"l"
12,2021,1593,"n"
11,2021,22,"h"
11,2021,58,"l"
11,2021,1415,"n"
10,2021,38,"h"
10,2021,1406,"n"
10,2021,31,"l"
9,2021,14,"h"
9,2021,39,"l"
9,2021,1300,"n"
8,2021,24,"l"
8,2021,1222,"n"
8,2021,12,"h"
7,2021,35,"h"
7,2021,1510,"n"
7,2021,27,"l"
6,2021,1852,"n"
6,2021,26,"h"
6,2021,53,"l"
5,2021,7,"l"
5,2021,21,"h"
5,2021,1491,"n"
4,2021,28,"h"
4,2021,24,"l"
4,2021,1579,"n"
3,2021,7,"l"
3,2021,1178,"n"
3,2021,27,"h"
2,2021,1268,"n"
2,2021,9,"l"
2,2021,35,"h"
1,2021,22,"l"
1,2021,1213,"n"
1,2021,29,"h"
53,2020,760,"n"
53,2020,2,"l"
